 ClIII,1005.278,0.00721,35,95200000,,,,
 HDLR3V09,1005.329,0.0135,3,976000000,,,,
 H2LP2V08,1005.397,0.00991,2,1180000000,,,,
 V III**,1005.398,0.00191,51,16800000,,,,
 HDLR6V10,1005.572,0.0123,3,838000000,,,,
 V III,1005.631,0.000574,51,2520000,,,,
 H2WP7V01,1005.808,0.0241,2,1150000000,,,,
 NiII,1005.848,0.000116,59,575000,,,,
 H2WR9V01,1005.85,0.00771,2,1130000000,,,,
 ClI,1005.9562,0.0025,35,33000000,,,,
 HDLR8V11,1006.029,0.0115,3,785000000,,,,
 NeVI*,1006.1,0.000000425,20,3100,,,,
 H2LP5V09,1006.345,0.00866,2,1110000000,,,,
 ClI*,1006.3956,0.0251,35,82500000,,,,
 V III*,1006.411,0.00108,51,10700000,,,,
 H2LR3V08,1006.417,0.0157,2,1170000000,,,,
 V III***,1006.468,0.0307,51,253000000,,,,
 ClI,1006.4952,0.0154,35,101000000,,,,
 HDLP9V12,1006.566,0.00895,3,704000000,,,,
 H2WQ8V01,1006.683,0.0368,2,1140000000,,,,
 ClI*,1006.8128,0.000000001,35,100000000,,,,
 HDLP3V09,1006.83,0.0103,3,1020000000,,,,
 V III*,1007.104,0.00696,51,45800000,,,,
 ClI*,1007.1647,0.0301,35,99100000,,,,
 HDWR1V00,1007.251,0.0084,3,592000000,,,,
 HDWR0V00,1007.283,0.017,3,592000000,,,,
 ClI,1007.3626,0.0109,35,47800000,,,,
 CrIIIer,1007.398,0.00000306,52,25900,,,,
 HDWR2V00,1007.65,0.00662,3,592000000,,,,
 HDLR4V09,1007.822,0.0132,3,930000000,,,,
 H2LP7V10,1007.986,0.00381,2,1050000000,,,,
 HDWQ1V00,1008.199,0.0089,3,590000000,,,,
 HDLP6V10,1008.2,0.0105,3,852000000,,,,
 V III,1008.253,0.00822,51,53900000,,,,
 ClI*,1008.3859,0.00138,35,4520000,,,,
 H2LP3V08,1008.39,0.0104,2,1180000000,,,,
 H2LR6V09,1008.43,0.0163,2,1100000000,,,,
 H2LR9V11,1008.45,0.0191,2,977000000,,,,
 HDWR3V00,1008.489,0.00583,3,592000000,,,,
 H2WR1V00,1008.504,0.0206,2,1180000000,,,,
 H2WR0V00,1008.558,0.044,2,1180000000,,,,
 ClIII,1008.767,0.0144,35,94200000,,,,
 H2WR2V00,1009.03,0.0157,2,1180000000,,,,
 HDWQ2V00,1009.08,0.00904,3,589000000,,,,
 V III**,1009.096,0.025,51,218000000,,,,
 ClI*,1009.1857,0.00346,35,22700000,,,,
 V III,1009.354,0.0221,51,290000000,,,,
 HDLP8V11,1009.367,0.0099,3,804000000,,,,
 H2LR4V08,1009.721,0.0141,2,1160000000,,,,
 V III*,1009.734,0.0226,51,222000000,,,,
 HDLP4V09,1009.76,0.0107,3,998000000,,,,
 HDWR4V00,1009.76,0.00537,3,591000000,,,,
 H2WQ1V00,1009.777,0.0238,2,1180000000,,,,
 HDLR7V10,1009.925,0.0123,3,823000000,,,,
 HDWP2V00,1010.005,0.00173,3,592000000,,,,
 H2WR3V00,1010.135,0.0139,2,1180000000,,,,
 HDWQ8V01,1010.31,0.0167,3,568000000,,,,
 HDWQ3V00,1010.389,0.00917,3,587000000,,,,
 NeVI*,1010.6,0.00000085,20,23800,,,,
 H2WP8V01,1010.715,0.0228,2,1150000000,,,,
 CO0_34R8,1010.758,0.000013,28,1000000000,,,,
 H2LR8V10,1010.759,0.0167,2,1030000000,,,,
 CO0_34R7,1010.759,0.0000133,28,1000000000,,,,
 CO0_34R9,1010.762,0.0000128,28,1000000000,,,,
